111.123,111,111,112,112,113,113,123,132
111.223,111,112,112,113,221,223,123,132
111.332,111,113,113,112,331,332,123,132
112.113,112,112,112,112,113,113,113,113
112.233,112,113,221,223,331,332,123,132
112.312,112,112,112,112,123,123,132,132
112.313,112,112,113,113,331,331,123,132
112.332,112,112,332,332,123,123,132,132
113.212,112,112,113,113,221,221,123,132
113.213,113,113,113,113,123,123,132,132
113.223,113,113,223,223,123,123,132,132
123.213,123,123,123,123,132,132,132,132
221.223,221,221,221,221,223,223,223,223
221.321,221,221,221,221,123,123,132,132
221.323,221,221,223,223,332,332,123,132
221.331,221,221,331,331,123,123,132,132
222.113,222,221,221,223,112,113,123,132
222.123,222,222,221,221,223,223,123,132
222.331,222,223,223,221,331,332,123,132
223.121,221,221,223,223,112,112,123,132
223.123,223,223,223,223,123,123,132,132
331.231,331,331,331,331,123,123,132,132
331.232,331,331,332,332,223,223,123,132
331.332,331,331,331,331,332,332,332,332
332.131,331,331,332,332,113,113,123,132
332.132,332,332,332,332,123,123,132,132
333.112,333,331,331,332,112,113,123,132
333.123,333,333,331,332,331,332,123,132
333.221,333,332,332,331,221,223,123,132
